theta_deg,e_plane_db
77.3,-40.14
77.4,-40.14
77.4,-40.14
77.5,-40.14
77.5,-40.14
77.6,-40.14
77.6,-40.14
77.7,-40.13
77.7,-40.13
77.8,-40.13
77.8,-40.13
77.9,-40.13
77.9,-40.13
78.0,-40.13
78.0,-40.13
78.1,-40.12
78.1,-40.12
78.2,-40.12
78.2,-40.12
78.3,-40.12
78.3,-40.12
78.4,-40.12
78.4,-40.12
78.5,-40.12
78.5,-40.11
78.6,-40.11
78.6,-40.11
78.7,-40.11
78.7,-40.11
78.8,-40.11
78.8,-40.11
78.9,-40.11
78.9,-40.11
79.0,-40.11
79.0,-40.10
79.1,-40.10
79.1,-40.10
79.2,-40.10
79.2,-40.10
79.3,-40.10
79.3,-40.10
79.4,-40.10
79.4,-40.10
79.5,-40.10
79.5,-40.09
79.6,-40.09
79.6,-40.09
79.7,-40.09
79.7,-40.09
79.8,-40.09
79.8,-40.09
79.9,-40.09
79.9,-40.09
80.0,-40.09
80.0,-40.09
80.1,-40.08
80.1,-40.08
80.2,-40.08
80.2,-40.08
80.3,-40.08
80.3,-40.08
80.4,-40.08
80.4,-40.08
80.5,-40.08
80.5,-40.08
80.6,-40.08
80.6,-40.08
80.7,-40.07
80.7,-40.07
80.8,-40.07
80.8,-40.07
80.9,-40.07
80.9,-40.07
81.0,-40.07
81.0,-40.07
81.1,-40.07
81.1,-40.07
81.2,-40.07
81.2,-40.07
81.3,-40.07
81.3,-40.07
81.4,-40.06
81.4,-40.06
81.5,-40.06
81.5,-40.06
81.6,-40.06
81.6,-40.06
81.7,-40.06
81.7,-40.06
81.8,-40.06
81.8,-40.06
81.9,-40.06
81.9,-40.06
82.0,-40.06
82.0,-40.06
82.1,-40.06
82.1,-40.06
82.2,-40.06
82.2,-40.05
82.3,-40.05
82.3,-40.05
82.4,-40.05
82.4,-40.05
82.5,-40.05
82.5,-40.05
82.6,-40.05
82.6,-40.05
82.7,-40.05
82.7,-40.05
82.8,-40.05
82.8,-40.05
82.9,-40.05
82.9,-40.05
83.0,-40.05
83.0,-40.05
83.1,-40.05
83.1,-40.05
83.2,-40.05
83.2,-40.05
83.3,-40.04
83.3,-40.04
83.4,-40.04
83.4,-40.04
83.5,-40.04
83.5,-40.04
83.6,-40.04
83.6,-40.04
83.7,-40.04
83.7,-40.04
83.8,-40.04
83.8,-40.04
83.9,-40.04
83.9,-40.04
84.0,-40.04
84.0,-40.04
84.1,-40.04
84.1,-40.04
84.2,-40.04
84.2,-40.04
84.3,-40.04
84.3,-40.04
84.4,-40.04
84.4,-40.04
84.5,-40.04
84.5,-40.04
84.6,-40.04
84.6,-40.04
84.7,-40.04
84.7,-40.04
84.8,-40.04
84.8,-40.04
84.9,-40.04
84.9,-40.04
85.0,-40.04
85.0,-40.04
85.1,-40.04
85.1,-40.04
85.2,-40.04
85.2,-40.04
85.3,-40.04
85.3,-40.04
85.4,-40.04
85.4,-40.03
85.5,-40.03
85.5,-40.03
85.6,-40.03
85.6,-40.03
85.7,-40.03
85.7,-40.03
85.8,-40.03
85.8,-40.03
85.9,-40.03
85.9,-40.03
86.0,-40.03
86.0,-40.03
86.1,-40.03
86.1,-40.03
86.2,-40.03
86.2,-40.03
86.3,-40.03
86.3,-40.03
86.4,-40.04
86.4,-40.04
86.5,-40.04
86.5,-40.04
86.6,-40.04
86.6,-40.04
86.7,-40.04
86.7,-40.04
86.8,-40.04
86.8,-40.04
86.9,-40.04
86.9,-40.04
87.0,-40.04
87.0,-40.04
87.1,-40.04
87.1,-40.04
87.2,-40.04
87.2,-40.04
87.3,-40.04
87.3,-40.04
87.4,-40.04
87.4,-40.04
87.5,-40.04
87.5,-40.04
87.6,-40.04
87.6,-40.04
87.7,-40.04
87.7,-40.04
87.8,-40.04
87.8,-40.04
87.9,-40.04
87.9,-40.04
88.0,-40.04
88.0,-40.04
88.1,-40.04
88.1,-40.04
88.2,-40.04
88.2,-40.04
88.3,-40.04
88.3,-40.04
88.4,-40.04
88.4,-40.04
88.5,-40.04
88.5,-40.04
88.6,-40.05
88.6,-40.05
88.7,-40.05
88.7,-40.05
88.8,-40.05
88.8,-40.05
88.9,-40.05
88.9,-40.05
89.0,-40.05
89.0,-40.05
89.1,-40.05
89.1,-40.05
89.2,-40.05
89.2,-40.05
89.3,-40.05
89.3,-40.05
89.4,-40.05
89.4,-40.05
89.5,-40.05
89.5,-40.05
89.6,-40.05
89.6,-40.06
89.7,-40.06
89.7,-40.06
89.8,-40.06
89.8,-40.06
89.9,-40.06
89.9,-40.06
90.0,-40.06
90.0,-40.06
90.0,-40.06
90.1,-40.06
90.1,-40.06
90.2,-40.06
90.2,-40.06
90.3,-40.06
90.3,-40.06
90.4,-40.07
90.4,-40.07
90.5,-40.07
90.5,-40.07
90.6,-40.07
90.6,-40.07
90.7,-40.07
90.7,-40.07
90.8,-40.07
90.8,-40.07
90.9,-40.07
90.9,-40.07
91.0,-40.07
91.0,-40.07
91.1,-40.08
91.1,-40.08
91.2,-40.08
91.2,-40.08
91.3,-40.08
91.3,-40.08
91.4,-40.08
91.4,-40.08
91.5,-40.08
91.5,-40.08
91.6,-40.08
91.6,-40.08
91.7,-40.09
91.7,-40.09
91.8,-40.09
91.8,-40.09
91.9,-40.09
91.9,-40.09
92.0,-40.09
92.0,-40.09
92.1,-40.09
92.1,-40.09
92.2,-40.09
92.2,-40.10
92.3,-40.10
92.3,-40.10
92.4,-40.10
92.4,-40.10
92.5,-40.10
92.5,-40.10
92.6,-40.10
92.6,-40.10
92.7,-40.10
92.7,-40.10
92.8,-40.11
92.8,-40.11
92.9,-40.11
92.9,-40.11
93.0,-40.11
93.0,-40.11
93.1,-40.11
93.1,-40.11
93.2,-40.11
93.2,-40.12
93.3,-40.12
93.3,-40.12
93.4,-40.12
93.4,-40.12
93.5,-40.12
93.5,-40.12
93.6,-40.12
93.6,-40.12
93.7,-40.13
93.7,-40.13
93.8,-40.13
93.8,-40.13
93.9,-40.13
93.9,-40.13
94.0,-40.13
94.0,-40.13
94.1,-40.14
94.1,-40.14
94.2,-40.14
94.2,-40.14
94.3,-40.14
94.3,-40.14
94.4,-40.14
94.4,-40.14
94.5,-40.15
94.5,-40.15
94.6,-40.15
94.6,-40.15
94.7,-40.15
94.7,-40.15
94.8,-40.15
94.8,-40.15
94.9,-40.16
94.9,-40.16
95.0,-40.16
95.0,-40.16
95.1,-40.16
95.1,-40.16
95.2,-40.16
95.2,-40.16
95.3,-40.17
95.3,-40.17
95.4,-40.17
95.4,-40.17
95.5,-40.17
95.5,-40.17
95.6,-40.17
95.6,-40.18
95.7,-40.18
95.7,-40.18
95.8,-40.18
95.8,-40.18
95.9,-40.18
95.9,-40.19
96.0,-40.19
96.0,-40.19
96.1,-40.19
96.1,-40.19
96.2,-40.19
96.2,-40.19
96.3,-40.20
96.3,-40.20
96.4,-40.20
96.4,-40.20
96.5,-40.20
96.5,-40.20
96.6,-40.20
96.6,-40.21
96.7,-40.21
96.7,-40.21
96.8,-40.21
96.8,-40.21
96.9,-40.21
96.9,-40.22
97.0,-40.22
97.0,-40.22
97.1,-40.22
97.1,-40.22
97.2,-40.22
97.2,-40.23
97.3,-40.23
97.3,-40.23
97.4,-40.23
97.4,-40.23
97.5,-40.23
97.5,-40.24
97.6,-40.24
97.6,-40.24
97.7,-40.24
97.7,-40.24
97.8,-40.24
97.8,-40.25
97.9,-40.25
97.9,-40.25
98.0,-40.25
98.0,-40.25
98.1,-40.26
98.1,-40.26
98.2,-40.26
98.2,-40.26
98.3,-40.26
98.3,-40.26
98.4,-40.27
98.4,-40.27
98.5,-40.27
98.5,-40.27
98.6,-40.27
98.6,-40.28
98.7,-40.28
98.7,-40.28
98.8,-40.28
98.8,-40.28
98.9,-40.28
98.9,-40.29
99.0,-40.29
99.0,-40.29
99.1,-40.29
99.1,-40.29
99.2,-40.30
99.2,-40.30
99.3,-40.30
99.3,-40.30
99.4,-40.30
99.4,-40.31
99.5,-40.31
99.5,-40.31
99.6,-40.31
99.6,-40.31
99.7,-40.32
99.7,-40.32
99.8,-40.32
99.8,-40.32
99.9,-40.32
99.9,-40.33
100.0,-40.33
100.0,-40.33
100.1,-40.33
100.1,-40.33
100.2,-40.34
100.2,-40.34
100.3,-40.34
100.3,-40.34
100.4,-40.35
100.4,-40.35
100.5,-40.35
100.5,-40.35
100.6,-40.35
100.6,-40.36
100.7,-40.36
100.7,-40.36
100.8,-40.36
100.8,-40.36
100.9,-40.37
100.9,-40.37
101.0,-40.37
101.0,-40.37
101.1,-40.38
101.1,-40.38
101.2,-40.38
101.2,-40.38
101.3,-40.38
101.3,-40.39
101.4,-40.39
101.4,-40.39
101.5,-40.39
101.5,-40.40
101.6,-40.40
101.6,-40.40
101.7,-40.40
101.7,-40.40
101.8,-40.41
101.8,-40.41
101.9,-40.41
101.9,-40.41
102.0,-40.42
102.0,-40.42
102.1,-40.42
102.1,-40.42
102.2,-40.43
102.2,-40.43
102.3,-40.43
102.3,-40.43
102.4,-40.43
102.4,-40.44
102.5,-40.44
102.5,-40.44
102.6,-40.44
102.6,-40.45
102.7,-40.45
102.7,-40.45
102.8,-40.45
102.8,-40.46
102.9,-40.46
102.9,-40.46
103.0,-40.46
103.0,-40.47
103.1,-40.47
103.1,-40.47
103.2,-40.47
103.2,-40.48
103.3,-40.48
103.3,-40.48
103.4,-40.48
103.4,-40.49
103.5,-40.49
103.5,-40.49
103.6,-40.49
103.6,-40.50
103.7,-40.50
103.7,-40.50
103.8,-40.50
103.8,-40.51
103.9,-40.51
103.9,-40.51
104.0,-40.51
104.0,-40.52
104.1,-40.52
104.1,-40.52
104.2,-40.52
104.2,-40.53
104.3,-40.53
104.3,-40.53
104.4,-40.54
104.4,-40.54
104.5,-40.54
104.5,-40.54
104.6,-40.55
104.6,-40.55
104.7,-40.55
104.7,-40.55
104.8,-40.56
104.8,-40.56
104.9,-40.56
104.9,-40.56
105.0,-40.57
105.0,-40.57
105.1,-40.57
105.1,-40.58
105.2,-40.58
105.2,-40.58
105.3,-40.58
105.3,-40.59
105.4,-40.59
105.4,-40.59
105.5,-40.59
105.5,-40.60
105.6,-40.60
105.6,-40.60
105.7,-40.61
105.7,-40.61
105.8,-40.61
105.8,-40.61
105.9,-40.62
105.9,-40.62
106.0,-40.62
106.0,-40.63
106.1,-40.63
106.1,-40.63
106.2,-40.63
106.2,-40.64
106.3,-40.64
106.3,-40.64
106.4,-40.65
106.4,-40.65
106.5,-40.65
106.5,-40.65
106.6,-40.66
106.6,-40.66
106.7,-40.66
106.7,-40.67
106.8,-40.67
106.8,-40.67
106.9,-40.68
106.9,-40.68
107.0,-40.68
107.0,-40.68
107.1,-40.69
107.1,-40.69
107.2,-40.69
107.2,-40.70
107.3,-40.70
107.3,-40.70
107.4,-40.71
107.4,-40.71
107.5,-40.71
107.5,-40.71
107.6,-40.72
107.6,-40.72
107.7,-40.72
107.7,-40.73
107.8,-40.73
107.8,-40.73
107.9,-40.74
107.9,-40.74
108.0,-40.74
108.0,-40.75
108.1,-40.75
108.1,-40.75
108.2,-40.75
108.2,-40.76
108.3,-40.76
108.3,-40.76
108.4,-40.77
108.4,-40.77
108.5,-40.77
108.5,-40.78
108.6,-40.78
108.6,-40.78
108.7,-40.79
108.7,-40.79
108.8,-40.79
108.8,-40.80
108.9,-40.80
108.9,-40.80
109.0,-40.80
109.0,-40.81
109.1,-40.81
109.1,-40.81
109.2,-40.82
109.2,-40.82
109.3,-40.82
109.3,-40.83
109.4,-40.83
109.4,-40.83
109.5,-40.84
109.5,-40.84
109.6,-40.84
109.6,-40.85
109.7,-40.85
109.7,-40.85
109.8,-40.86
109.8,-40.86
109.9,-40.86
109.9,-40.87
110.0,-40.87
110.0,-40.87
110.1,-40.88
110.1,-40.88
110.2,-40.88
110.2,-40.89
110.3,-40.89
110.3,-40.89
110.4,-40.90
110.4,-40.90
110.5,-40.90
110.5,-40.91
110.6,-40.91
110.6,-40.91
110.7,-40.92
110.7,-40.92
110.8,-40.92
110.8,-40.93
110.9,-40.93
110.9,-40.93
111.0,-40.94
111.0,-40.94
111.1,-40.95
111.1,-40.95
111.2,-40.95
111.2,-40.96
111.3,-40.96
111.3,-40.96
111.4,-40.97
111.4,-40.97
111.5,-40.97
111.5,-40.98
111.6,-40.98
111.6,-40.98
111.7,-40.99
111.7,-40.99
111.8,-40.99
111.8,-41.00
111.9,-41.00
111.9,-41.00
112.0,-41.01
112.0,-41.01
112.1,-41.02
112.1,-41.02
112.2,-41.02
112.2,-41.03
112.3,-41.03
112.3,-41.03
112.4,-41.04
112.4,-41.04
112.5,-41.04
112.5,-41.05
112.6,-41.05
112.6,-41.06
112.7,-41.06
112.7,-41.06
112.8,-41.07
112.8,-41.07
112.9,-41.07
112.9,-41.08
113.0,-41.08
113.0,-41.08
113.1,-41.09
113.1,-41.09
113.2,-41.10
113.2,-41.10
113.3,-41.10
113.3,-41.11
113.4,-41.11
113.4,-41.11
113.5,-41.12
113.5,-41.12
113.6,-41.13
113.6,-41.13
113.7,-41.13
113.7,-41.14
113.8,-41.14
113.8,-41.14
113.9,-41.15
113.9,-41.15
114.0,-41.16
114.0,-41.16
114.1,-41.16
114.1,-41.17
114.2,-41.17
114.2,-41.17
114.3,-41.18
114.3,-41.18
114.4,-41.19
114.4,-41.19
114.5,-41.19
114.5,-41.20
114.6,-41.20
114.6,-41.20
114.7,-41.21
114.7,-41.21
114.8,-41.22
114.8,-41.22
114.9,-41.22
114.9,-41.23
115.0,-41.23
115.0,-41.24
115.1,-41.24
115.1,-41.24
115.2,-41.25
115.2,-41.25
115.3,-41.26
115.3,-41.26
115.4,-41.26
115.4,-41.27
115.5,-41.27
115.5,-41.27
115.6,-41.28
115.6,-41.28
115.7,-41.29
115.7,-41.29
115.8,-41.29
115.8,-41.30
115.9,-41.30
115.9,-41.31
116.0,-41.31
116.0,-41.31
116.1,-41.32
116.1,-41.32
116.2,-41.33
116.2,-41.33
116.3,-41.33
116.3,-41.34
116.4,-41.34
116.4,-41.35
116.5,-41.35
116.5,-41.35
116.6,-41.36
116.6,-41.36
116.7,-41.37
116.7,-41.37
116.8,-41.38
116.8,-41.38
116.9,-41.38
116.9,-41.39
117.0,-41.39
117.0,-41.40
117.1,-41.40
117.1,-41.40
117.2,-41.41
117.2,-41.41
117.3,-41.42
117.3,-41.42
117.4,-41.42
117.4,-41.43
117.5,-41.43
117.5,-41.44
117.6,-41.44
117.6,-41.44
117.7,-41.45
117.7,-41.45
117.8,-41.46
117.8,-41.46
117.9,-41.47
117.9,-41.47
118.0,-41.47
118.0,-41.48
118.1,-41.48
118.1,-41.49
118.2,-41.49
118.2,-41.50
118.3,-41.50
118.3,-41.50
118.4,-41.51
118.4,-41.51
118.5,-41.52
118.5,-41.52
118.6,-41.52
118.6,-41.53
118.7,-41.53
118.7,-41.54
118.8,-41.54
118.8,-41.55
118.9,-41.55
118.9,-41.55
119.0,-41.56
119.0,-41.56
119.1,-41.57
119.1,-41.57
119.2,-41.58
119.2,-41.58
119.3,-41.58
119.3,-41.59
119.4,-41.59
119.4,-41.60
119.5,-41.60
119.5,-41.61
119.6,-41.61
119.6,-41.62
119.7,-41.62
119.7,-41.62
119.8,-41.63
119.8,-41.63
119.9,-41.64
119.9,-41.64
120.0,-41.65
120.0,-41.65
120.1,-41.65
120.1,-41.66
120.2,-41.66
120.2,-41.67
120.3,-41.67
120.3,-41.68
120.4,-41.68
120.4,-41.69
120.5,-41.69
120.5,-41.69
120.6,-41.70
120.6,-41.70
120.7,-41.71
120.7,-41.71
120.8,-41.72
120.8,-41.72
120.9,-41.73
120.9,-41.73
121.0,-41.73
121.0,-41.74
121.1,-41.74
121.1,-41.75
121.2,-41.75
121.2,-41.76
121.3,-41.76
121.3,-41.77
121.4,-41.77
121.4,-41.77
121.5,-41.78
121.5,-41.78
121.6,-41.79
121.6,-41.79
121.7,-41.80
121.7,-41.80
121.8,-41.81
121.8,-41.81
121.9,-41.82
121.9,-41.82
122.0,-41.82
122.0,-41.83
122.1,-41.83
122.1,-41.84
122.2,-41.84
122.2,-41.85
122.3,-41.85
122.3,-41.86
122.4,-41.86
122.4,-41.87
122.5,-41.87
122.5,-41.88
122.6,-41.88
122.6,-41.88
122.7,-41.89
122.7,-41.89
122.8,-41.90
122.8,-41.90
122.9,-41.91
122.9,-41.91
123.0,-41.92
123.0,-41.92
123.1,-41.93
123.1,-41.93
123.2,-41.94
123.2,-41.94
123.3,-41.94
123.3,-41.95
123.4,-41.95
123.4,-41.96
123.5,-41.96
123.5,-41.97
123.6,-41.97
123.6,-41.98
123.7,-41.98
123.7,-41.99
123.8,-41.99
123.8,-42.00
123.9,-42.00
123.9,-42.01
124.0,-42.01
124.0,-42.02
124.1,-42.02
124.1,-42.02
124.2,-42.03
124.2,-42.03
124.3,-42.04
124.3,-42.04
124.4,-42.05
124.4,-42.05
124.5,-42.06
124.5,-42.06
124.6,-42.07
124.6,-42.07
124.7,-42.08
124.7,-42.08
124.8,-42.09
124.8,-42.09
124.9,-42.10
124.9,-42.10
125.0,-42.11
125.0,-42.11
125.1,-42.12
125.1,-42.12
125.2,-42.13
125.2,-42.13
125.3,-42.14
125.3,-42.14
125.4,-42.15
125.4,-42.15
125.5,-42.15
125.5,-42.16
125.6,-42.16
125.6,-42.17
125.7,-42.17
125.7,-42.18
125.8,-42.18
125.8,-42.19
125.9,-42.19
125.9,-42.20
126.0,-42.20
126.0,-42.21
126.1,-42.21
126.1,-42.22
126.2,-42.22
126.2,-42.23
126.3,-42.23
126.3,-42.24
126.4,-42.24
126.4,-42.25
126.5,-42.25
126.5,-42.26
126.6,-42.26
126.6,-42.27
126.7,-42.27
126.7,-42.28
126.8,-42.28
126.8,-42.29
126.9,-42.29
126.9,-42.30
127.0,-42.30
127.0,-42.31
127.1,-42.31
127.1,-42.32
127.2,-42.32
127.2,-42.33
127.3,-42.33
127.3,-42.34
127.4,-42.34
127.4,-42.35
127.5,-42.35
127.5,-42.36
127.6,-42.36
127.6,-42.37
127.7,-42.37
127.7,-42.38
127.8,-42.38
127.8,-42.39
127.9,-42.39
127.9,-42.40
128.0,-42.40
128.0,-42.41
128.1,-42.41
128.1,-42.42
128.2,-42.42
128.2,-42.43
128.3,-42.43
128.3,-42.44
128.4,-42.44
128.4,-42.45
128.5,-42.45
128.5,-42.46
128.6,-42.46
128.6,-42.47
128.7,-42.47
128.7,-42.48
128.8,-42.48
128.8,-42.49
128.9,-42.49
128.9,-42.50
129.0,-42.51
129.0,-42.51
129.1,-42.52
129.1,-42.52
129.2,-42.53
129.2,-42.53
129.3,-42.54
129.3,-42.54
129.4,-42.55
129.4,-42.55
129.5,-42.56
129.5,-42.56
129.6,-42.57
129.6,-42.57
129.7,-42.58
129.7,-42.58
129.8,-42.59
129.8,-42.59
129.9,-42.60
129.9,-42.60
130.0,-42.61
130.0,-42.61
130.1,-42.62
130.1,-42.62
130.2,-42.63
130.2,-42.63
130.3,-42.64
130.3,-42.65
130.4,-42.65
130.4,-42.66
130.5,-42.66
130.5,-42.67
130.6,-42.67
130.6,-42.68
130.7,-42.68
130.7,-42.69
130.8,-42.69
130.8,-42.70
130.9,-42.70
130.9,-42.71
131.0,-42.71
131.0,-42.72
131.1,-42.72
131.1,-42.73
131.2,-42.73
131.2,-42.74
131.3,-42.75
131.3,-42.75
131.4,-42.76
131.4,-42.76
131.5,-42.77
131.5,-42.77
131.6,-42.78
131.6,-42.78
131.7,-42.79
131.7,-42.79
131.8,-42.80
131.8,-42.80
131.9,-42.81
131.9,-42.81
132.0,-42.82
132.0,-42.83
132.1,-42.83
132.1,-42.84
132.2,-42.84
132.2,-42.85
132.3,-42.85
132.3,-42.86
132.4,-42.86
132.4,-42.87
132.5,-42.87
132.5,-42.88
132.6,-42.88
132.6,-42.89
132.7,-42.90
132.7,-42.90
132.8,-42.91
132.8,-42.91
132.9,-42.92
132.9,-42.92
133.0,-42.93
133.0,-42.93
133.1,-42.94
133.1,-42.94
133.2,-42.95
133.2,-42.95
133.3,-42.96
133.3,-42.97
133.4,-42.97
133.4,-42.98
133.5,-42.98
133.5,-42.99
133.6,-42.99
133.6,-43.00
133.7,-43.00
133.7,-43.01
133.8,-43.01
133.8,-43.02
133.9,-43.03
133.9,-43.03
134.0,-43.04
134.0,-43.04
134.1,-43.05
134.1,-43.05
134.2,-43.06
134.2,-43.06
134.3,-43.07
134.3,-43.07
134.4,-43.08
134.4,-43.09
134.5,-43.09
134.5,-43.10
134.6,-43.10
134.6,-43.11
134.7,-43.11
134.7,-43.12
134.8,-43.12
134.8,-43.13
134.9,-43.14
134.9,-43.14
135.0,-43.15
135.0,-43.15
135.1,-43.16
135.1,-43.16
135.2,-43.17
135.2,-43.17
135.3,-43.18
135.3,-43.19
135.4,-43.19
135.4,-43.20
135.5,-43.20
135.5,-43.21
135.6,-43.21
135.6,-43.22
135.7,-43.22
135.7,-43.23
135.8,-43.24
135.8,-43.24
135.9,-43.25
135.9,-43.25
136.0,-43.26
136.0,-43.26
136.1,-43.27
136.1,-43.27
136.2,-43.28
136.2,-43.29
136.3,-43.29
136.3,-43.30
136.4,-43.30
136.4,-43.31
136.5,-43.31
136.5,-43.32
136.6,-43.32
136.6,-43.33
136.7,-43.34
136.7,-43.34
136.8,-43.35
136.8,-43.35
136.9,-43.36
136.9,-43.36
137.0,-43.37
137.0,-43.38
137.1,-43.38
137.1,-43.39
137.2,-43.39
137.2,-43.40
137.3,-43.40
137.3,-43.41
137.4,-43.41
137.4,-43.42
137.5,-43.43
137.5,-43.43
137.6,-43.44
137.6,-43.44
137.7,-43.45
137.7,-43.45
137.8,-43.46
137.8,-43.47
137.9,-43.47
137.9,-43.48
138.0,-43.48
138.0,-43.49
138.1,-43.49
138.1,-43.50
138.2,-43.51
138.2,-43.51
138.3,-43.52
138.3,-43.52
138.4,-43.53
138.4,-43.53
138.5,-43.54
138.5,-43.55
138.6,-43.55
138.6,-43.56
138.7,-43.56
138.7,-43.57
138.8,-43.57
138.8,-43.58
138.9,-43.58
138.9,-43.59
139.0,-43.60
139.0,-43.60
139.1,-43.61
139.1,-43.61
139.2,-43.62
139.2,-43.62
139.3,-43.63
139.3,-43.64
139.4,-43.64
139.4,-43.65
139.5,-43.65
139.5,-43.66
139.6,-43.66
139.6,-43.67
139.7,-43.68
139.7,-43.68
139.8,-43.69
139.8,-43.69
139.9,-43.70
139.9,-43.70
140.0,-43.71
140.0,-43.72
140.1,-43.72
140.1,-43.73
140.2,-43.73
140.2,-43.74
140.3,-43.74
140.3,-43.75
140.4,-43.76
140.4,-43.76
140.5,-43.77
140.5,-43.77
140.6,-43.78
140.6,-43.79
140.7,-43.79
140.7,-43.80
140.8,-43.80
140.8,-43.81
140.9,-43.81
140.9,-43.82
141.0,-43.83
141.0,-43.83
141.1,-43.84
141.1,-43.84
141.2,-43.85
141.2,-43.85
141.3,-43.86
141.3,-43.87
141.4,-43.87
141.4,-43.88
141.5,-43.88
141.5,-43.89
141.6,-43.89
141.6,-43.90
141.7,-43.91
141.7,-43.91
141.8,-43.92
141.8,-43.92
141.9,-43.93
141.9,-43.93
142.0,-43.94
142.0,-43.95
142.1,-43.95
142.1,-43.96
142.2,-43.96
142.2,-43.97
142.3,-43.97
142.3,-43.98
142.4,-43.99
142.4,-43.99
142.5,-44.00
142.5,-44.00
142.6,-44.01
142.6,-44.02
142.7,-44.02
142.7,-44.03
142.8,-44.03
142.8,-44.04
142.9,-44.04
142.9,-44.05
143.0,-44.06
143.0,-44.06
143.1,-44.07
143.1,-44.07
143.2,-44.08
143.2,-44.08
143.3,-44.09
143.3,-44.10
143.4,-44.10
143.4,-44.11
143.5,-44.11
143.5,-44.12
143.6,-44.12
143.6,-44.13
143.7,-44.14
143.7,-44.14
143.8,-44.15
143.8,-44.15
143.9,-44.16
143.9,-44.16
144.0,-44.17
144.0,-44.18
144.1,-44.18
144.1,-44.19
144.2,-44.19
144.2,-44.20
144.3,-44.20
144.3,-44.21
144.4,-44.22
144.4,-44.22
144.5,-44.23
144.5,-44.23
144.6,-44.24
144.6,-44.24
144.7,-44.25
144.7,-44.26
144.8,-44.26
144.8,-44.27
144.9,-44.27
144.9,-44.28
145.0,-44.28
145.0,-44.29
145.1,-44.30
145.1,-44.30
145.2,-44.31
145.2,-44.31
145.3,-44.32
145.3,-44.32
145.4,-44.33
145.4,-44.34
145.5,-44.34
145.5,-44.35
145.6,-44.35
145.6,-44.36
145.7,-44.36
145.7,-44.37
145.8,-44.38
145.8,-44.38
145.9,-44.39
145.9,-44.39
146.0,-44.40
146.0,-44.40
146.1,-44.41
146.1,-44.42
146.2,-44.42
146.2,-44.43
146.3,-44.43
146.3,-44.44
146.4,-44.44
146.4,-44.45
146.5,-44.45
146.5,-44.46
146.6,-44.47
146.6,-44.47
146.7,-44.48
146.7,-44.48
146.8,-44.49
146.8,-44.49
146.9,-44.50
146.9,-44.51
147.0,-44.51
147.0,-44.52
147.1,-44.52
147.1,-44.53
147.2,-44.53
147.2,-44.54
147.3,-44.54
147.3,-44.55
147.4,-44.56
147.4,-44.56
147.5,-44.57
147.5,-44.57
147.6,-44.58
147.6,-44.58
147.7,-44.59
147.7,-44.59
147.8,-44.60
147.8,-44.60
147.9,-44.61
147.9,-44.62
148.0,-44.62
148.0,-44.63
148.1,-44.63
148.1,-44.64
148.2,-44.64
148.2,-44.65
148.3,-44.65
148.3,-44.66
148.4,-44.66
148.4,-44.67
148.5,-44.68
148.5,-44.68
148.6,-44.69
148.6,-44.69
148.7,-44.70
148.7,-44.70
148.8,-44.71
148.8,-44.71
148.9,-44.72
148.9,-44.72
149.0,-44.73
149.0,-44.74
149.1,-44.74
149.1,-44.75
149.2,-44.75
149.2,-44.76
149.3,-44.76
149.3,-44.77
149.4,-44.77
149.4,-44.78
149.5,-44.78
149.5,-44.79
149.6,-44.79
149.6,-44.80
149.7,-44.80
149.7,-44.81
149.8,-44.81
149.8,-44.82
149.9,-44.83
149.9,-44.83
150.0,-44.84
150.0,-44.84
150.1,-44.85
150.1,-44.85
150.2,-44.86
150.2,-44.86
150.3,-44.87
150.3,-44.87
150.4,-44.88
150.4,-44.88
150.5,-44.89
150.5,-44.89
150.6,-44.90
150.6,-44.90
150.7,-44.91
150.7,-44.91
150.8,-44.92
150.8,-44.92
150.9,-44.93
150.9,-44.93
151.0,-44.94
151.0,-44.94
151.1,-44.95
151.1,-44.95
151.2,-44.96
151.2,-44.96
151.3,-44.97
151.3,-44.97
151.4,-44.98
151.4,-44.98
151.5,-44.99
151.5,-44.99
151.6,-45.00
151.6,-45.00
151.7,-45.01
151.7,-45.01
151.8,-45.02
151.8,-45.02
151.9,-45.03
151.9,-45.03
152.0,-45.04
152.0,-45.04
152.1,-45.05
152.1,-45.05
152.2,-45.05
152.2,-45.06
152.3,-45.06
152.3,-45.07
152.4,-45.07
152.4,-45.08
152.5,-45.08
152.5,-45.09
152.6,-45.09
152.6,-45.10
152.7,-45.10
152.7,-45.11
152.8,-45.11
152.8,-45.12
152.9,-45.12
152.9,-45.12
153.0,-45.13
153.0,-45.13
153.1,-45.14
153.1,-45.14
153.2,-45.15
153.2,-45.15
153.3,-45.16
153.3,-45.16
153.4,-45.16
153.4,-45.17
153.5,-45.17
153.5,-45.18
153.6,-45.18
153.6,-45.19
153.7,-45.19
153.7,-45.19
153.8,-45.20
153.8,-45.20
153.9,-45.21
153.9,-45.21
154.0,-45.22
154.0,-45.22
154.1,-45.22
154.1,-45.23
154.2,-45.23
154.2,-45.24
154.3,-45.24
154.3,-45.24
154.4,-45.25
154.4,-45.25
154.5,-45.26
154.5,-45.26
154.6,-45.26
154.6,-45.27
154.7,-45.27
154.7,-45.28
154.8,-45.28
154.8,-45.28
154.9,-45.29
154.9,-45.29
